Longitude,Latitude,Address
115.862765,39.637304,"孤山口村, 房山区, 北京市, 中国"
115.864451,40.465661,"西卓家营村, 延庆区, 北京市, 中国"
115.864943,40.382762,"康草路, 大王庄村, 延庆区, 北京市, 075400, 中国"
115.865631,39.564033,"北正村, 房山区, 北京市, 中国"
115.865661,39.609131,"京昆高速, 罗家峪村, 房山区, 北京市, 中国"
115.866035,39.804881,"长儿地, 佛子庄村, 房山区, 北京市, 中国"
115.866067,39.804935,"长儿地, 佛子庄村, 房山区, 北京市, 中国"
115.8662,39.56469,"房易路, 北正村, 房山区, 北京市, 中国"
115.867631,40.360161,"西官路, 怀来县, 张家口市, 河北省, 075400, 中国"
115.867838,39.585201,"云居寺路, 六甲房村, 房山区, 北京市, 中国"
115.868537,40.494605,"小河屯村, 延庆区, 北京市, 中国"
115.868951,40.467533,"马庄村, 延庆区, 北京市, 中国"
115.869351,40.501195,"古龙路, 玉皇庙村, 延庆区, 北京市, 中国"
115.869517,40.501228,"古龙路, 玉皇庙村, 延庆区, 北京市, 中国"
115.870101,39.613921,"龙下路, 罗家峪村, 房山区, 北京市, 中国"
115.870891,39.581821,"云居寺路, 西甘池村, 房山区, 北京市, 中国"
115.870911,39.581811,"云居寺路, 西甘池村, 房山区, 北京市, 中国"
115.870958,39.581874,"云居寺路, 西甘池村, 房山区, 北京市, 中国"
115.87118,40.03747,"芹峪口, 京拉路, 下马岭村, 门头沟区, 北京市, 中国"
115.871191,40.037451,"芹峪口, 京拉路, 下马岭村, 门头沟区, 北京市, 中国"
115.872185,39.555961,"南良各庄村, 房山区, 北京市, 中国"
115.872187,39.555961,"南良各庄村, 房山区, 北京市, 中国"
115.87242,40.49042,"小河屯村, 延庆区, 北京市, 中国"
115.872448,40.49038,"小河屯村, 延庆区, 北京市, 中国"
115.87395,39.80583,"二道沟, 佛子庄村, 房山区, 北京市, 中国"
115.874234,40.024008,"饮马鞍村, 门头沟区, 北京市, 中国"
115.8743,40.02405,"饮马鞍村, 门头沟区, 北京市, 中国"
115.87431,40.02404,"饮马鞍村, 门头沟区, 北京市, 中国"
115.874951,40.047631,"芹峪村, 门头沟区, 北京市, 中国"
115.875027,40.387257,"屯军营村, 延庆区, 北京市, 中国"
115.875044,40.38732,"小曹营村, 延庆区, 北京市, 中国"
115.875561,40.023171,"下关路, 饮马鞍村, 门头沟区, 北京市, 中国"
115.875646,39.627416,"天开村, 房山区, 北京市, 中国"
115.87646,40.45125,"延庆区, 北京市, 中国"
115.876694,39.569288,"坟庄村, 房山区, 北京市, 中国"
115.878023,40.033206,"雁翅中小学素质教育基地, 京拉路, 雁翅社区, 门头沟区, 北京市, 中国"
115.878441,39.811954,"佛子庄村, 房山区, 北京市, 中国"
115.878738,39.613762,"龙下路, 皇后台村, 房山区, 北京市, 中国"
115.879351,39.562181,"北良各庄村, 房山区, 北京市, 中国"
115.87938,39.56219,"北良各庄村, 房山区, 北京市, 中国"
115.879435,39.562188,"北良各庄村, 房山区, 北京市, 中国"
115.879604,40.376117,"南曹营村, 延庆区, 北京市, 075400, 中国"
115.879686,39.584511,"西甘池村, 房山区, 北京市, 中国"
115.879881,39.570431,"坟庄村, 房山区, 北京市, 中国"
115.879906,39.570498,"坟庄村, 房山区, 北京市, 中国"
115.880037,40.490581,"京银路, 张山营镇社区, 延庆区, 北京市, 中国"
115.880741,40.436923,"康张路, 火烧营村, 延庆区, 北京市, 中国"
115.881101,40.360417,"京藏高速辅路, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.881672,40.495862,"上板泉村, 延庆区, 北京市, 中国"
115.88254,40.47094,"马庄村, 延庆区, 北京市, 中国"
115.882564,40.470838,"马庄村, 延庆区, 北京市, 中国"
115.882957,39.620793,"京昆高速, 天开村, 房山区, 北京市, 中国"
115.88297,40.49949,"上板泉村, 延庆区, 北京市, 中国"
115.883448,39.629582,"天开登山步道, 天开村, 房山区, 北京市, 中国"
115.883761,39.819711,"佛子庄乡政府, 京昆路, 长儿地, 黑龙关村, 房山区, 北京市, 中国"
115.883907,39.620818,"天开村, 房山区, 北京市, 中国"
115.884021,40.031571,"雁翅社区, 门头沟区, 北京市, 中国"
115.8842,40.3682,"北京邮电大学世纪学院, 西官路, 望都佳园社区, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.88421,40.3682,"北京邮电大学世纪学院, 西官路, 望都佳园社区, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.88468,40.37597,"延康路, 望都佳园社区, 南曹营村, 延庆区, 北京市, 075400, 中国"
115.88472,40.37605,"延康路, 望都佳园社区, 南曹营村, 延庆区, 北京市, 075400, 中国"
115.884739,40.37603,"延康路, 望都佳园社区, 南曹营村, 延庆区, 北京市, 075400, 中国"
115.885243,39.613588,"皇后台村, 房山区, 北京市, 中国"
115.885402,39.609217,"皇后台村, 房山区, 北京市, 中国"
115.885872,39.819055,"京昆路, 长儿地, 黑龙关村, 房山区, 北京市, 中国"
115.88669,40.39733,"马坊村, 延庆区, 北京市, 中国"
115.887036,40.355848,"怀来县, 张家口市, 河北省, 075400, 中国"
115.88704,40.35582,"怀来县, 张家口市, 河北省, 075400, 中国"
115.887041,40.355821,"怀来县, 张家口市, 河北省, 075400, 中国"
115.88827,40.36932,"北京邮电大学世纪学院, 西官路, 望都佳园社区, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.890218,40.375538,"望都佳园社区, 四街村, 延庆区, 北京市, 075400, 中国"
115.89044,40.36466,"京藏高速辅路, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.890632,39.619287,"北京龙门文化馆, 京昆高速, 天开村, 房山区, 北京市, 中国"
115.89078,39.57264,"房易路, 长沟镇, 房山区, 北京市, 中国"
115.89081,40.37196,"北京邮电大学世纪学院, 西官路, 望都佳园社区, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.89082,40.37197,"北京邮电大学世纪学院, 西官路, 望都佳园社区, 榆林堡村, 延庆区, 北京市, 075400, 中国"
115.89104,39.61923,"北京龙门文化馆, 京昆高速, 天开村, 房山区, 北京市, 中国"
115.891326,39.568624,"涿州市, 保定市, 河北省, 中国"
115.891355,39.619401,"北京龙门文化馆, 京昆高速, 天开村, 房山区, 北京市, 中国"
115.891633,40.400896,"刁五路, 刁千营村, 延庆区, 北京市, 中国"
